episode,global_step,o_position,injected_deaths,official_reward,shaping_reward,training_reward,checkpoint_reward,final_alive,final_dry,handoffs,water_attempts,successful_waters,blocked_moves,epsilon
23,240000,"(1, 1)",0,-719.0699985169194,-116.22776366995583,-835.2977621869927,-126.17999851703644,2,2,6,1327,1327,0,0.280003
24,250000,"(1, 1)",0,-1796.380000023596,-30.471540680407323,-1826.8515407040034,-485.60000002384186,0,0,2,154,154,0,0.250003
25,260000,"(1, 1)",1,-1135.8200007102587,-60.56317749213674,-1196.383178202622,-218.88000071048737,1,0,10,242,242,0,0.22000299999999995
26,270000,"(1, 1)",0,-1180.9099984644106,-65.35245427107215,-1246.2624527356581,-195.85999846458435,1,0,13,1215,1215,0,0.19000300000000003
27,280000,"(1, 1)",0,-1799.6600000235849,-35.57571686386949,-1835.2357168874935,-495.60000002384186,0,0,3,58,58,0,0.160003
28,290000,"(1, 1)",2,-1093.2900005100782,-62.1020492758705,-1155.3920497860918,-103.34000051021576,1,0,10,1285,1285,0,0.13000299999999998
29,300000,"(1, 1)",0,-745.0200001237822,-79.64277425574424,-824.6627743797224,-194.62000012397766,2,0,11,720,720,0,0.10000299999999995
30,310000,"(1, 1)",2,-1532.999998330878,-45.1667680270635,-1578.166766358061,-215.49999833106995,0,0,7,250,250,0,0.09999999999999998
31,320000,"(1, 1)",0,-656.5400037477801,-119.5109436330685,-776.0509473810015,-65.82000374794006,2,0,9,1296,1296,0,0.09999999999999998
32,330000,"(1, 1)",2,-1048.5800004671064,-44.29589726447642,-1092.8758977317746,-118.76000046730042,1,0,10,426,426,0,0.09999999999999998
33,340000,"(1, 1)",1,-704.219999599363,-90.42627685975103,-794.6462764592043,-61.41999959945679,2,1,9,2040,2040,0,0.09999999999999998
34,350000,"(1, 1)",1,-1130.7199990318004,-52.208266838069775,-1182.928265870092,-213.63999903202057,1,0,5,244,244,0,0.09999999999999998
35,360000,"(1, 1)",2,-1101.4700000522948,-49.31595744299399,-1150.785957495445,-135.3200000524521,1,0,10,945,945,0,0.09999999999999998
36,370000,"(1, 1)",0,-643.959999537311,-111.47024080656868,-755.4302403440386,-75.35999953746796,2,0,7,980,980,0,0.09999999999999998
37,380000,"(1, 1)",0,-1249.490000252574,-71.90078177022596,-1321.3907820229897,-233.3600002527237,1,0,12,1659,1659,0,0.09999999999999998
